Pintura;Dureza;Temp;Operador
Mezcla 2;14.9;30.3;1
Mezcla 3;13.0;30.9;2
Mezcla 4;15.0;30.5;2
Mezcla 1;17.0;29.4;3
Mezcla 1;13.9;30.0;3
Mezcla 3;16.4;29.6;1
Mezcla 1;10.4;29.6;2
Mezcla 2;3.2;29.9;2
Mezcla 2;1.9;28.9;2
Mezcla 2;7.3;28.6;1
Mezcla 4;17.8;30.8;3
Mezcla 2;9.6;30.8;3
Mezcla 4;22.9;28.9;1
Mezcla 4;17.4;30.6;3
Mezcla 3;13.3;29.8;3
Mezcla 1;19.3;30.0;1
Mezcla 1;16.1;29.9;3
Mezcla 3;6.5;30.6;2
Mezcla 1;11.7;30.1;3
Mezcla 4;16.9;30.7;3
Mezcla 4;18.4;29.9;1
Mezcla 3;11.9;29.5;2
Mezcla 2;14.5;29.9;1
Mezcla 3;16.8;29.9;3
